title,author,atos,lexile
I Love My New Toy!,Mo Willems,0.5,180
Are You Ready to Play Outside?,Mo Willems,0.6,140
Can I Play Too?,Mo Willems,0.6,180
Biscuit and the Little Pup,Alyssa Satin Capucilli,0.7,BR
Biscuit and the Lost Teddy Bear,Alyssa Satin Capucilli,0.7,210
I Am Invited to a Party!,Mo Willems,0.7,210
My Friend Is Sad,Mo Willems,0.7,220
Biscuit Finds a Friend,Alyssa Satin Capucilli,0.8,210
Biscuit Meets the Class Pet,Alyssa Satin Capucilli,0.8,210
Biscuit's Big Friend,Alyssa Satin Capucilli,0.8,250
Biscuit's Day at the Farm,Alyssa Satin Capucilli,0.8,260
Biscuit Goes to School,Alyssa Satin Capucilli,0.9,160
Biscuit and the Baby,Alyssa Satin Capucilli,0.9,170
Biscuit in the Garden,Alyssa Satin Capucilli,0.9,250
Don't Let the Pigeon Drive the Bus!,Mo Willems,0.9,280
Waiting Is Not Easy!,Mo Willems,0.9,250
We Are in a Book!,Mo Willems,0.9,200
A Big Guy Took My Ball!,Mo Willems,1,270
I Really Like Slop!,Mo Willems,1,190
Let's Go for a Drive!,Mo Willems,1,310
There Is a Bird on Your Head!,Mo Willems,1,210
I'm a Frog!,Mo Willems,1.1,180
My New Friend Is So Fun!,Mo Willems,1.1,10
Should I Share My Ice Cream?,Mo Willems,1.1,260
Pete the Cat: Pete's Big Lunch,James Dean,1.2,160
Pete the Cat: Pete at the Beach,James Dean,1.3,280
Pete the Cat: Too Cool for School,Kimberly Dean,1.3,180
Biscuit,Alyssa Satin Capucilli,1.4,210
Green Eggs and Ham,Dr. Seuss,1.5,210
Hi! Fly Guy,Tedd Arnold,1.5,380
Pete the Cat: I Love My White Shoes,Eric Litwin,1.5,460
The Bad Seed,Jory John,2,390
The Cat in the Hat,Dr. Seuss,2.1,430
Big Red Lollipop,Rukhsana Khan,2.2,490
There Was an Old Lady Who Swallowed a Bat!,Lucille Colandro,2.2,340
"Click, Clack, Moo: Cows That Type",Doreen Cronin,2.3,470
Creepy Carrots!,Aaron Reynolds,2.3,390
Dog Man: A Tale of Two Kitties,Dav Pilkey,2.3,260
The Good Egg,Jory John,2.3,510
Dog Man Unleashed,Dav Pilkey,2.5,320
Dog Man: For Whom the Ball Rolls,Dav Pilkey,2.5,550
Dog Man: Grime and Punishment,Dav Pilkey,2.5,480
If You Give a Pig a Pancake,Laura Numeroff,2.5,430
There Was a Cold Lady Who Swallowed Some Snow!,Lucille Colandro,2.5,430
Dog Man,Dav Pilkey,2.6,390
Dog Man and Cat Kid,Dav Pilkey,2.6,440
Dog Man: Brawl of the Wild,Dav Pilkey,2.6,260
Dog Man: Lord of the Fleas,Dav Pilkey,2.6,530
Dog Man: Mothering Heights,Dav Pilkey,2.6,530
Big Jim Begins,Dav Pilkey,2.7,340
Clark the Shark,Bruce Hale,2.7,500
Dog Man: Fetch-22,Dav Pilkey,2.7,290
If You Give a Mouse a Cookie,Laura Numeroff,2.7,410
Dog Man: The Scarlet Shedder,Dav Pilkey,2.8,320
The Couch Potato,Jory John,2.8,550
The Very Hungry Caterpillar,Eric Carle,2.9,460
The True Story of the 3 Little Pigs,Jon Scieszka,3,510
The Diary of Anne Frank,Frances Goodrich,3.1,520
Tales of a Fourth Grade Nothing,Judy Blume,3.3,470
Fences,August Wilson,3.5,580
Scaredy Squirrel,M?lanie Watt,3.6,560
A Bad Case of Stripes,David Shannon,3.8,610
Because of Winn-Dixie,Kate DiCamillo,3.9,670
The Summer I Turned Pretty,Jenny Han,4.1,600
Charlotte's Web,E.B. White,4.4,680
Number the Stars,Lois Lowry,4.5,670
Of Mice and Men,John Steinbeck,4.5,630
The House on Mango Street,Sandra Cisneros,4.5,870
Holes,Louis Sachar,4.6,660
It Ends with Us,Colleen Hoover,4.6,730
The Catcher in the Rye,J.D. Salinger,4.7,790
The Lightning Thief,Rick Riordan,4.7,680
The Outsiders,S.E. Hinton,4.7,750
Night,Elie Wiesel,4.8,760
Wonder,R.J. Palacio,4.8,790
All American Boys,Jason Reynolds,4.9,770
The Crucible,Arthur Miller,4.9,770
Twilight,Stephenie Meyer,4.9,720
A Long Walk to Water: Based on a True Story,Linda Sue Park,5,720
"Bud, Not Buddy",Christopher Paul Curtis,5,950
Lord of the Flies,William Golding,5,770
The Land of Stories: The Wishing Spell,Chris Colfer,5,720
Restart,Gordon Korman,5.1,730
The Wild Robot,Peter Brown,5.1,740
Diary of a Wimpy Kid,Jeff Kinney,5.2,950
Diary of a Wimpy Kid: Dog Days,Jeff Kinney,5.2,1010
Diary of a Wimpy Kid: Rodrick Rules,Jeff Kinney,5.2,910
Fahrenheit 451 (English),Ray Bradbury,5.2,890
The Kite Runner,Khaled Hosseini,5.2,840
Catching Fire,Suzanne Collins,5.3,820
Refugee,Alan Gratz,5.3,800
The Hunger Games,Suzanne Collins,5.3,810
The Maze Runner,James Dashner,5.3,770
The Most Dangerous Game,Richard Connell,5.3,820
Born a Crime: Stories from a South African Childhood,Trevor Noah,5.4,770
Diary of a Wimpy Kid: The Deep End,Jeff Kinney,5.4,970
Diary of a Wimpy Kid: The Getaway,Jeff Kinney,5.4,920
Diary of a Wimpy Kid: The Last Straw,Jeff Kinney,5.4,970
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,5.4,1000
"Sing, Unburied, Sing",Jesmyn Ward,5.4,840
The Curious Incident of the Dog in the Night-Time,Mark Haddon,5.4,1090
A Raisin in the Sun,Lorraine Hansberry,5.5,840
Diary of a Wimpy Kid: Hard Luck,Jeff Kinney,5.5,1020
Diary of a Wimpy Kid: The Meltdown,Jeff Kinney,5.5,960
Diary of a Wimpy Kid: The Ugly Truth,Jeff Kinney,5.5,1000
Diary of a Wimpy Kid: Wrecking Ball,Jeff Kinney,5.5,940
Freak the Mighty/The Mighty,Rodman Philbrick,5.5,930
Harry Potter and the Sorcerer's Stone/Harry Potter and the Philosopher's Stone,J.K. Rowling,5.5,880
Tuesdays with Morrie,Mitch Albom,5.5,830
Diary of a Wimpy Kid: Big Shot,Jeff Kinney,5.6,970
Diary of a Wimpy Kid: Old School,Jeff Kinney,5.6,1020
Diary of a Wimpy Kid: The Third Wheel,Jeff Kinney,5.6,1060
Their Eyes Were Watching God,Zora Neale Hurston,5.6,890
To Kill a Mockingbird,Harper Lee,5.6,790
Hatchet,Gary Paulsen,5.7,1020
The Giver,Lois Lowry,5.7,760
Diary of a Wimpy Kid: Cabin Fever,Jeff Kinney,5.8,1060
Diary of a Wimpy Kid: Hot Mess,Jeff Kinney,5.8,1000
The Boy in the Striped Pajamas,John Boyne,5.8,1000
Diary of a Wimpy Kid: No Brainer,Jeff Kinney,6.2,1040
Things Fall Apart,Chinua Achebe,6.2,890
The Monkey's Paw,W.W. Jacobs,6.5,960
The Pearl,John Steinbeck,7.1,1020
Animal Farm,George Orwell,7.3,1170
The Great Gatsby,F. Scott Fitzgerald,7.3,1010
The Tell-Tale Heart,Edgar Allan Poe,7.3,1040
Romeo and Juliet,William Shakespeare,8.6,1160
Beowulf,Anonymous,10.4,1310
Hamlet,William Shakespeare,10.5,1320
The Metamorphosis,Franz Kafka,10.5,1340
Julius Caesar,William Shakespeare,10.8,1340
Macbeth,William Shakespeare,10.9,1350
The Scarlet Letter (Unabridged),Nathaniel Hawthorne,11.7,1410
Frankenstein (Unabridged),Mary Shelley,12.4,1450
